I_0 (A)	Temperature (K), Chip Surface Avg. Temp.	Temperature (K), Max Temperature	-ht.ntflux (W), Inward Heat Flux Through Bottom	Normal total heat flux (W), outward Heat Flux Through Side
0.0000	524.55	701.65	2.6179	2.6166
1.0000	509.85	657.18	2.6180	2.5991
2.0000	504.63	631.90	2.6179	2.6809
3.0000	507.58	623.74	2.6179	2.8543
4.0000	517.75	632.15	2.6180	3.1169
5.0000	534.20	653.98	2.6179	3.4629
6.0000	556.44	685.80	2.6181	3.8898
7.0000	583.70	725.61	2.6184	4.3942
8.0000	615.56	772.29	2.6188	4.9748
9.0000	651.64	824.87	2.6191	5.6299
10.000	691.57	882.49	2.6174	6.3587
